artist,tot_track,below_or_above_avg
AC/DC,18,ABOVE AVERAGE
Aaron Copland & London Symphony Orchestra,1,BELOW AVERAGE
Aaron Goldberg,1,BELOW AVERAGE
Academy of St. Martin in the Fields & Sir Neville Marriner,2,BELOW AVERAGE
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1,BELOW AVERAGE
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1,BELOW AVERAGE
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1,BELOW AVERAGE
Accept,4,BELOW AVERAGE
Adrian Leaper & Doreen de Feis,1,BELOW AVERAGE
Aerosmith,15,ABOVE AVERAGE
Aisha Duo,2,BELOW AVERAGE
Alanis Morissette,13,ABOVE AVERAGE
Alberto Turco & Nova Schola Gregoriana,1,BELOW AVERAGE
Alice In Chains,12,AVERAGE
Amy Winehouse,23,ABOVE AVERAGE
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1,BELOW AVERAGE
Antal Doráti & London Symphony Orchestra,1,BELOW AVERAGE
Antônio Carlos Jobim,31,ABOVE AVERAGE
Apocalyptica,8,BELOW AVERAGE
Aquaman,1,BELOW AVERAGE
Audioslave,40,ABOVE AVERAGE
BackBeat,12,AVERAGE
Barry Wordsworth & BBC Concert Orchestra,1,BELOW AVERAGE
Battlestar Galactica,20,ABOVE AVERAGE
Battlestar Galactica (Classic),24,ABOVE AVERAGE
Berliner Philharmoniker & Hans Rosbaud,1,BELOW AVERAGE
Berliner Philharmoniker & Herbert Von Karajan,3,BELOW AVERAGE
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1,BELOW AVERAGE
Billy Cobham,8,BELOW AVERAGE
Black Label Society,18,ABOVE AVERAGE
Black Sabbath,17,ABOVE AVERAGE
Body Count,17,ABOVE AVERAGE
Boston Symphony Orchestra & Seiji Ozawa,1,BELOW AVERAGE
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",1,BELOW AVERAGE
Bruce Dickinson,11,BELOW AVERAGE
Buddy Guy,11,BELOW AVERAGE
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1,BELOW AVERAGE
Caetano Veloso,21,ABOVE AVERAGE
Cake,1,BELOW AVERAGE
Calexico,1,BELOW AVERAGE
Charles Dutoit & L'Orchestre Symphonique de Montréal,1,BELOW AVERAGE
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",1,BELOW AVERAGE
Chicago Symphony Orchestra & Fritz Reiner,1,BELOW AVERAGE
Chico Buarque,34,ABOVE AVERAGE
Chico Science & Nação Zumbi,36,ABOVE AVERAGE
Choir Of Westminster Abbey & Simon Preston,1,BELOW AVERAGE
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1,BELOW AVERAGE
Chris Cornell,14,ABOVE AVERAGE
Christopher O'Riley,1,BELOW AVERAGE
Cidade Negra,31,ABOVE AVERAGE
Cláudio Zoli,10,BELOW AVERAGE
Creedence Clearwater Revival,40,ABOVE AVERAGE
Cássia Eller,30,ABOVE AVERAGE
David Coverdale,12,AVERAGE
