track,tot_sales
The Trooper,5
Untitled,4
The Number Of The Beast,4
Sure Know Something,4
Hallowed Be Thy Name,4
Eruption,4
Where Eagles Dare,3
Welcome Home (Sanitarium),3
Sweetest Thing,3
Surrender,3
Stairway To Heaven,3
Selvagem,3
Sanctuary,3
Release,3
Plaster Caster,3
Linha Do Equador,3
Iron Maiden,3
Heaven Can Wait,3
Good Golly Miss Molly,3
Flying High Again,3
Dazed and Confused,3
Can I Play With Madness,3
Brasil,3
Blood Brothers,3
2 Minutes To Midnight,3
Álibi,2
Your Time Is Gonna Come,2
You've Got Another Thing Comin',2
You're My Best Friend,2
You Got Me Rocking,2
You Better You Bet,2
Year to the Day,2
Wrathchild,2
Woman Is The Nigger Of The World (Ao Vivo),2
Whiskey In The Jar,2
When My Left Eye Jumps,2
When Love Comes To Town,2
When I Look At The World,2
When I Come Around,2
Whatsername,2
"Whatever It Is, I Just Can't Stop",2
What A Day,2
We Are The Champions,2
War Pigs,2
Walter's Walk,2
Walking Into Clarksdale,2
Walkabout,2
Waiting,2
Voodoo,2
Violent Pornography,2
Undertow,2
Under The Bridge,2
Um Amor Puro,2
Two Hearts Beat As One,2
Turbo Lover,2
Travis Walk,2
Train In Vain,2
Toda Cor,2
Title Song,2
Times Like These,2
The Woman King,2
The Wicker Man,2
The Unforgiven II,2
The Unforgiven,2
The Thin Line Between Love & Hate,2
The Star Spangled Banner,2
The Prisoner,2
The Midnight Special,2
The Last Song,2
The House Jack Built,2
The Garden,2
The Fix,2
The Evil That Men Do,2
The Duke,2
The Clairvoyant,2
The Aftermath,2
That's The Way,2
Thank You,2
Tempo Perdido,2
Tear,2
Tarde Em Itapoã,2
Tanto Tempo,2
Take It Or Leave It,2
Só Tinha De Ser Com Você,2
"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",2
Sweet Hitch-Hiker,2
Susie Q,2
Sunshine Of Your Love,2
Sunday Bloody Sunday,2
Sun King,2
"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",2
"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",2
Stormbringer,2
Stone Cold Crazy,2
Stir It Up (Live),2
Starburst,2
Speed Of Light,2
Somebody To Love,2
Soldier Side - Intro,2
So What,2
So Central Rain,2
Snowblind,2
Snowballed,2
Smoke On The Water,2
Smells Like Teen Spirit,2
Slither,2
Since I've Been Loving You,2
Sign Of The Cross,2
Shoot Me Again,2
Shock Me,2
She Loves Me Not,2
She,2
Shakes and Ladders,2
"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",2
Save The Children,2
Saturnine,2
Sangue Latino,2
Samba Do Lado,2
Samba De Orly,2
Saber Amar,2
Run To The Hills,2
Run Silent Run Deep,2
Romance Ideal,2
Rocket Queen,2
Rock And Roll All Nite,2
Rock & Roll,2
Right On Time,2
Revolta Olodum,2
Rehab,2
Red Light,2
Real Love,2
Re-Align,2
Rappers Reais,2
Ramble On,2
Radio Song,2
Question!,2
Que Luz É Essa,2
Prowler,2
Promises,2
Primavera,2
Pride (In The Name Of Love),2
Pretty Noose,2
Powerslave,2
Por Causa De Você,2
Polly,2
Plot 180,2
Pilot,2
Piece Of Pie,2
Phyllis's Wedding,2
Phantom Lord,2
Perfect Crime,2
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),2
Peace On Earth,2
Paint It Black,2
Overdose,2
Onde Você Mora?,2
Onde Anda Você,2
O Pulso,2
Não Quero Dinheiro,2
Nothing Else Matters,2
Not The Doctor,2
Nossa Gente (Avisa Là),2
Norwegian Wood,2
No Quarter,2
No No No,2
Nice Guys Finish Last,2
New Year's Day,2
Nega Do Cabelo Duro,2
Nebulosa Do Amor,2
Música No Ar,2
"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",2
Mr. Cab Driver,2
Motorbreath,2
Morena De Angola,2
Moonchild,2
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),2
Midnight From The Inside Out,2
Midlife Crisis,2
Miami,2
Meu Erro,2
Meu Caro Amigo,2
Mensagen De Amor (2000),2
Menino De Rua,2
Menestrel Das Alagoas,2
Mel,2
Meditação,2
Maybe I'm A Leo,2
Master Of Puppets,2
Manguetown,2
"Mama, I'm Coming Home",2
Lugar Nenhum,2
Lonely Stranger,2
Lixo Do Mangue,2
Living On Love,2
Living Loving Maid (She's Just A Woman),2
Light Years,2
Let Me Love You Baby,2
Leper Messiah,2
Lemon Drop,2
Leave My Girl Alone,2
Layla,2
Lay Down Sally,2
Last Cup Of Sorrow,2
Lamento De Carnaval,2
L'Avventura,2
L'Arc En Ciel De Miles,2
King For A Day,2
Já Foi,2
Judgement Of Heaven,2
J Squared,2
Is This Love (Live),2
Intro,2
Inject The Venom,2
In The Evening,2
Immigrant Song,2
Imagine,2
I'm Gonna Crawl,2
I'm Going Slightly Mad,2
I Can't Explain,2
I Believe,2
How to Stop an Exploding Man,2
How Many More Times,2
Hot Girl,2
Holiday,2
Hey America,2
Helpless,2
Heaven Coming Down,2
Hallelujah Here She Comes,2
Gyroscope,2
Give Peace a Chance,2
Give Me Novacaine,2
Gimme Some Truth,2
Ghost Of The Navigator,2
Get Up,2
Geni E O Zepelim,2
Gay Witch Hunt,2
Garden of Eden,2
Gangland,2
For the Greater Good of God,2
For Your Life,2
For Whom The Bell Tolls,2
Folhas Secas,2
Firmamento,2
Fear Of The Dark,2
Fall On Me,2
Falamansa Song,2
Everlasting Love,2
Esquinas,2
Esporrei Na Manivela,2
End Of Romanticism,2
Easy,2
Drum Boogie,2
Drifter,2
Dream Of Mirrors,2
Down by the Sea,2
Don't Take Your Love From Me,2
Don't Look To The Eyes Of A Stranger,2
Don't Look Now,2
"Dois Pra Lá, Dois Pra Cá",2
Dirty Day,2
Dezesseis,2
Deuces Are Wild,2
Desire,2
Dazed And Confused,2
Dancing Days,2
Country Feedback,2
Cornucopia,2
Comportamento Geral,2
Compadre,2
Communication Breakdown,2
Commotion,2
Comin' Home,2
Comida,2
City Of Blinding Lights,2
Children Of The Grave,2
Cherub Rock,2
Chemical Wedding,2
Celebration Day,2
Calling Dr. Love,2
Caleidoscópio,2
Caffeine,2
Cabeça Dinossauro,2
C'est La Vie,2
Bumbo Da Mangueira,2
Bullet With Butterfly Wings,2
Bron-Y-Aur Stomp,2
Breakdown,2
Branch Closing,2
